"nest_code";"nestmix";"epy3";"CODESTART";"CODEEND";"HATCH.DAY";"END.DAY";"year";"ring";"sex";"average_31_before";"min_31_period";"max_31_period";"X60_after";"min_60";"max_60";"average_preciti_31";"XX_NA";"box";"id";"xf";"boxor";"fring";"hlf";"gs1";"mring";"hlm";"fage";"mage";"gs2";"idor";"xfblock";"eblock";"code";"ring.1";"exp";"mani";"treatment";"exp.1";"epy3.1";"sex.1";"mass2";"mass11";"mass12";"mass14";"rtars14";"pha";"pha.1";"PHA";"X";"TEMP_BROOD";"PRCP_BROOD"
"TU1772009";"WPO";0;2009141;2009155;51;65;2009;"1EP47619";"M";4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;"TU177";"90132";0;"TU177";"1EP48346";0.9323333;NA;"1EP48366";1.1712355;"OLDER";"OLDER";NA;90132;90014;90014;"HC";"1EP47619";"bs";"3";"experimental nests";"enlarged";"WPY";"M";2.2;NA;NA;11.7;"16";0.114333333;0.114333333;11.4333333;NA;12.7466666666667;27
"OL18A2015";"WPO";0;2015145;2015159;NA;NA;2015;"1EX15816";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"OL18A";NA;NA;"RN15A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"D";"1EX28001";"T4";NA;"experimental nests";"HO";"WPY";"M";1.9;NA;NA;NA;NA;NA;NA;15;NA;11.3533333333333;10.6
"OL03A2015";"WPO";0;2015144;2015158;NA;NA;2015;"1EX15950";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"OL3A";NA;NA;"OL3A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"B";"1EX28038";"CORT";NA;"experimental nests";"HO";"WPY";"F";1.9;"9.2";9.4;NA;"17.08";NA;NA;17;NA;11.18;10.6
"RW17B2015";"WPO";0;2015143;2015157;NA;NA;2015;"1EX14158";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"RW17B";NA;NA;"OL3A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1EX28095";"CORT";NA;"experimental nests";"CORT";"WPY";"M";1.8;"9";9.8;NA;"16.3";NA;NA;17.66666667;NA;11.0866666666667;10.6
"RW17B2015";"WPO";0;2015143;2015157;NA;NA;2015;"1EX14152";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"RW17B";NA;NA;"RW17B";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1EX28094";"T4";NA;"experimental nests";"HO";"WPY";"M";2;"9.5";9.6;NA;"15.6";18;18;18;NA;11.0866666666667;10.6
"FK11B2015";"WPO";0;2015152;2015166;NA;NA;2015;"1EX14284";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"FK11B";NA;NA;"FP21A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"F";"1EX14678";"T4";NA;"experimental nests";"HO";"WPY";"M";2.6;"9.4";9.2;NA;"16.66";18;17;18;NA;12.62;5.7
"SK28A2015";"WPO";0;2015146;2015160;NA;NA;2015;"1EX15840";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"SK28A";NA;NA;"SK28A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"D";"1EX14952";"T4";NA;"experimental nests";"HO";"WPY";"M";1.8;NA;NA;11.52;"17.29";19;19;19;NA;11.3133333333333;10.6
"OL16A2015";"WPO";0;2015143;2015157;NA;NA;2015;"1EX15901";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"OL16A";NA;NA;"OL16A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AB";"1EX28112";"CORT";NA;"experimental nests";"HO";"WPY";"F";1.9;NA;NA;11.49;"16.52";NA;NA;20.33333333;NA;11.0866666666667;10.6
"FP21A2015";"WPO";0;2015148;2015162;NA;NA;2015;"1EX15873";"F";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"FP21A";NA;NA;"FP21A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"H";"1EX14882";NA;NA;"CONTROL NESTS";"nonmanipulated";"WPY";"F";1.26;NA;NA;NA;"16.63";21;21;21;NA;11.58;10.6
"RN27A2015";"WPO";0;2015146;2015160;NA;NA;2015;"1EX15833";"M";6.212903226;0;21.9;11.59583333;0;30.7;5.419354839;10.7425;"RN27A";NA;NA;"RN27A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"A";"1EX14971";NA;NA;"CONTROL NESTS";"nonmanipulated";"WPY";"M";1.6;NA;NA;11.86;"17.15";22;22;21;NA;11.3133333333333;10.6
