nest_code;nestmix;epy3;CODESTART;CODEEND;HATCH DAY;END DAY;year;ring;sex;average_31_before;min_31_period;max_31_period;60_after;min_60;max_60;average_preciti_31;XX_NA;box;id;xf;boxor;fring;hlf;gs1;mring;hlm;fage;mage;gs2;idor;xfblock;eblock;code;ring;exp;mani;treatment;exp;epy3;sex;mass2;mass11;mass12;mass14;rtars14;pha;pha;PHA;
BO2-2011;EPP;0;2011141;2011155;51;65;2011;1ER02071;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BO2-;110026;1;RO20;1ER03657;0.9516288;0.144061325;1ER03658;0.8784266;YEARLING;YEARLING;0.144061325;110140;111018;111018;AF;1ER02071;bs;3;experimental nests;enlarged;WPY;F;2.4;9.9;NA;NA;16.4;0.041;0.041;4.1;
GR192011;EPP;0;2011141;2011155;51;65;2011;1ER02046;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;GR19;110082;1;GR49;NA;1.0980333;-0.169163879;1ER03655;1.0980333;NA;OLDER;-0.169163879;110084;111017;111017;HA;1ER02046;bs;3;experimental nests;enlarged;WPY;M;1.7;11.3;11.4;NA;17.4;0.041;0.041;4.1;
FP22011;EPP;0;2011141;2011155;51;65;2011;1ER02025;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;FP2;110071;1;AN3;1ER03643;1.0980333;0.044540566;1EP48127;1.0983929;YEARLING;YEARLING;0.044540566;110008;110012;110012;A;1ER02025;bs;0;CONTROL NEST;nonmanipulated;WPY;M;1.9;NA;11.2;11.9;16.9;0.041333333;0.041333333;4.1333333;
BO6-2011;EPP;0;2011142;2011156;52;66;2011;1ER02087;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BO6-;110029;1;BS54B;1ER03611;1.024831;0.013345119;1ER03610;1.024831;OLDER;YEARLING;0.013345119;110035;110015;110015;HAB;1ER02087;bs;0;CONTROL NEST;nonmanipulated;WPY;M;2;NA;11.6;11.9;16.9;0.041333333;0.041333333;4.1333333;
OJ1802011;EPP;0;2011143;2011157;53;67;2011;1ER02464;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;OJ180;110106;1;RO16B;1ER03679;0.8784266;0.114004625;1EP48171;0.8052244;YEARLING;OLDER;0.114004625;110138;111012;111012;AC;1ER02464;bs;0;CONTROL NEST;nonmanipulated;WPY;F;2.1;9.8;9;9.9;16.4;0.041666667;0.041666667;4.1666667;
FKIII22009;EPP;0;2009141;2009155;51;65;2009;1EP47676;M;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;FKIII2;90046;1;BJ4B;1EP46046;0.8784266;-0.048447184;1EL98857;1.0980333;OLDER;OLDER;-0.048447184;90005;90015;90015;AC;1EP47676;bs;0;CONTROL NEST;nonmanipulated;WPY;M;2;9.8;11.2;11.6;16.4;0.041666667;0.041666667;4.1666667;
BO6-2011;EPP;0;2011142;2011156;52;66;2011;1ER02082;M;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;BO6-;110029;0;BO6-;1ER03628;1.1712355;-0.106594636;1EP48665;0.9516288;YEARLING;OLDER;-0.106594636;110029;110015;110015;AB;1ER02082;bs;0;CONTROL NEST;nonmanipulated;WPY;M;1.9;9;NA;NA;16.8;0.041666667;0.041666667;4.1666667;
TU88B2009;EPP;0;2009144;2009158;54;68;2009;1EP48844;F;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;TU88B;90142;1;BS28B;1ER03604;0.9145281;NA;1ER03603;0.8784266;OLDER;OLDER;NA;90016;90011;90011;ABE;1EP48844;bs;0;CONTROL NEST;nonmanipulated;WPY;F;2.5;NA;NA;NA;15.6;0.042;0.042;4.2;
RO16B2011;EPP;0;2011143;2011157;53;67;2011;1ER02482;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;RO16B;110138;0;RO16B;1ER03679;0.8784266;0.114004625;1EP48171;0.8052244;YEARLING;OLDER;0.114004625;110138;111012;111012;G;1ER02482;bs;3;experimental nests;enlarged;WPY;F;2;NA;NA;NA;16.1;0.042;0.042;4.2;
BJ5B2010;EPP;0;2010147;2010161;57;71;2010;1EP48040;M;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;BJ5B;100013;0;BJ5B;1EP46435;0.8784266;-0.143953366;NA;1.0980333;YEARLING;NA;-0.143953366;100013;100009;100009;HB;1EP48040;bs;3;experimental nests;enlarged;WPY;M;2.1;NA;11;11;16.3;0.042;0.042;4.2;
GR192011;EPP;0;2011141;2011155;51;65;2011;1ER02049;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;GR19;110082;1;GR49;NA;1.0980333;-0.169163879;1ER03655;1.0980333;NA;OLDER;-0.169163879;110084;111017;111017;HABF;1ER02049;bs;3;experimental nests;enlarged;WPY;F;1.7;NA;NA;11.4;16.6;0.042;0.042;4.2;
FP22011;EPP;0;2011141;2011155;51;65;2011;1ER02024;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;FP2;110071;1;AN3;1ER03643;1.0980333;0.044540566;1EP48127;1.0983929;YEARLING;YEARLING;0.044540566;110008;110012;110012;BE;1ER02024;bs;0;CONTROL NEST;nonmanipulated;WPY;F;1.9;NA;11.5;11.2;16.9;0.042;0.042;4.2;
TU88B2009;EPP;0;2009144;2009158;54;68;2009;1EP48840;M;4.467741935;-13.6;16.2;10.82416667;0;35.6;3.875806452;10.17416667;TU88B;90142;0;TU88B;1EP48377;0.8784266;0.009889867;1EP48371;1.0267923;YEARLING;YEARLING;0.009889867;90142;90011;90011;HA;1EP48840;bs;0;CONTROL NEST;nonmanipulated;WPY;M;1.7;8.3;9.8;9.8;15.3;0.042333333;0.042333333;4.2333333;
FP762010;EPP;0;2010152;2010166;62;76;2010;1ER02215;M;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;FP76;100047;1;RO7;1EP46425;0.9516288;0.035904891;1EP47578;0.8052244;OLDER;YEARLING;0.035904891;100083;100005;100005;AC;1ER02215;bs;0;CONTROL NEST;nonmanipulated;WPY;M;1.7;11.3;11.8;12.3;16.3;0.042333333;0.042333333;4.2333333;
GR492011;EPP;0;2011141;2011155;51;65;2011;1ER03648;F;6.035483871;0;20.7;12.56583333;0;42.8;5.325806452;12.22;GR49;110084;0;GR49;NA;1.0980333;-0.169163879;1ER03655;1.0980333;NA;OLDER;-0.169163879;110084;111017;111017;HB;1ER03648;bs;0;CONTROL NEST;nonmanipulated;WPY;F;1.6;NA;NA;NA;16.2;0.042666667;0.042666667;4.2666667;
RO72010;EPP;0;2010152;2010166;62;76;2010;1ER02392;F;4.840322581;0;17.2;11.25916667;0;36.2;4.616129032;10.42;RO7;100083;1;FP76;1EP47404;1.024831;0.162645464;1EP48125;1.0980333;OLDER;OLDER;0.162645464;100047;100005;100005;HAB;1ER02392;bs;3;experimental nests;enlarged;WPY;F;1.7;9.9;NA;NA;15.8;0.043;0.043;4.3;
